"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","324","276","416","260","7.56B","17.39%"
"09/01/2024","276","240","304","224","5.47B","15.00%"
"08/01/2024","240","222","264","206","3.86B","9.09%"
"07/01/2024","220","155","222","150","3.80B","41.94%"
"06/01/2024","155","156","173","136","1.62B","-0.64%"
"05/01/2024","156","169","182","137","1.50B","-12.85%"
"04/01/2024","179","210","214","164","1.19B","-14.76%"
"03/01/2024","210","171","212","170","1.44B","22.81%"
"02/01/2024","171","122","176","122","1.80B","30.53%"
"01/01/2024","131","88","135","88","1.28B","48.86%"
"12/01/2023","88","89","95","86","102.29M","0.00%"
"11/01/2023","88","88","94","84","136.66M","0.00%"
"10/01/2023","88","87","96","74","136.32M","2.33%"
"09/01/2023","86","88","89","84","31.51M","-2.27%"
"08/01/2023","88","94","95","85","138.75M","-5.38%"
"07/01/2023","93","83","97","82","179.47M","12.05%"
"06/01/2023","83","87","90","81","121.87M","-4.60%"
"05/01/2023","87","99","107","86","213.21M","-12.12%"
"04/01/2023","99","99","118","96","517.20M","0.00%"
"03/01/2023","99","105","107","90","290.66M","-5.71%"
"02/01/2023","105","125","135","104","498.92M","-15.32%"
"01/01/2023","124","108","158","106","1.33B","15.89%"
"12/01/2022","107","112","116","103","28.20M","-4.46%"
"11/01/2022","112","118","121","112","33.98M","-4.27%"
